NO,名称,名称_カナ,緯度,経度,都道府県名,市区町村名,洪水,土砂災害,地震
1,大井小学校・グラウンド,オオイショウガッコウグラウンド,35.454853,137.416928,岐阜県,恵那市,1,1,1
2,大井小学校・体育館,オオイショウガッコウタイイクカン,35.455375,137.41564,岐阜県,恵那市,1,1,1
3,大井第二小学校・グラウンド,オオイダイニショウガッコウグラウンド,35.462982,137.419523,岐阜県,恵那市,1,1,1
4,大井第二小学校・体育館,オオイダイニショウガッコウタイイクカン,35.463488,137.420848,岐阜県,恵那市,1,1,1
5,恵那東中学校・グラウンド,エナヒガシチュウガッコウグラウンド,35.452363,137.420349,岐阜県,恵那市,1,1,1
6,恵那東中学校・体育館,エナヒガシチュウガッコウタイイクカン,35.452123,137.421197,岐阜県,恵那市,1,1,1
7,恵那高等学校・グラウンド,エナコウトウガッコウグラウンド,35.453989,137.418128,岐阜県,恵那市,1,1,1
8,恵那高等学校・体育館,エナコウトウガッコウタイイクカン,35.452643,137.419078,岐阜県,恵那市,1,1,1
9,恵那農業高等学校・グラウンド,エナノウギョウコウトウガッコウグラウンド,35.465975,137.414264,岐阜県,恵那市,1,1,1
10,恵那農業高等学校・体育館,エナノウギョウコウトウガッコウタイイクカン,35.46509,137.415114,岐阜県,恵那市,1,1,1
11,城ヶ丘こども園・遊戯室,ジョウガオカコドモエン,35.456213,137.415489,岐阜県,恵那市,1,1,1
12,シアター恵那・駐車場等,シアターエナチュウシャジョウトウ,35.477776,137.401547,岐阜県,恵那市,1,1,1
13,養護老人ホーム恵光園・駐車場等,ヨウゴロウジンホームケイコウエンチュウシャジョウトウ,35.464345,137.392327,岐阜県,恵那市,1,1,1
14,養護老人ホーム恵光園・ホール,ヨウゴロウジンホームケイコウエンホール,35.464345,137.392327,岐阜県,恵那市,1,1,1
15,中山道大井宿広場・グラウンド,ナンセンドウオオイジュクヒロバグラウンド,35.453223,137.408789,岐阜県,恵那市,1,1,1
16,正家公民館・ホール,ショウゲコウミンカンホール,35.444037,137.415047,岐阜県,恵那市,1,1,1
17,恵那総合庁舎・駐車場,エナソウゴウチョウシャチュウシャジョウ,35.449967,137.432562,岐阜県,恵那市,1,1,1
18,長島小学校・グラウンド,オサシマショウガッコウグラウンド,35.449406,137.403433,岐阜県,恵那市,1,1,1
19,長島小学校・体育館,オサシマショウガッコウタイイクカン,35.449288,137.402577,岐阜県,恵那市,1,1,1
20,岐阜県森林組合連合会東濃支所・会議室,ギフケンシンリンクミアイレンゴウカイトウノウシショカイギシツ,35.437045,137.405283,岐阜県,恵那市,1,1,1
21,恵那文化センター・駐車場,エナブンカセンターチュウシャジョウ,35.449874,137.404638,岐阜県,恵那市,1,1,1
22,恵那文化センター・ホール,エナブンカセンターホール,35.449429,137.404627,岐阜県,恵那市,1,1,1
23,恵那西中学校・グラウンド,エナニシチュウガッコウグラウンド,35.440516,137.381835,岐阜県,恵那市,1,1,1
24,恵那西中学校・体育館,エナニシチュウガッコウタイイクカン,35.43886,137.382355,岐阜県,恵那市,1,1,1
25,まきがね公園・グラウンド,マキガネコウエングラウンド,35.444251,137.385603,岐阜県,恵那市,1,1,1
